sentence,sentence_type
je veux partir de Bourg-Achard Champ de F pour Lorient,from_to
je veux partir de Mouscron / Moeskroen pour Basel-SBB,from_to
je veux partir de Mouscron / Moeskroen pour Carhaix,from_to
je veux partir de St-Vit pour Chantonnay,from_to
je veux partir de Nort-sur-Erdre pour Rolleville,from_to
je veux partir de Meroux pour Pauillac,from_to
je veux partir de La Chaise-Dieu pour Lozanne,from_to
je veux partir de Thann-Saint-Jacques pour Vire-Centre,from_to
je veux partir de Lannion pour L'Isle-Jourdain (Gers),from_to
je veux partir de Basel-SBB pour Creutzwald G.R.,from_to
je veux partir de Cluses (Hte-Savoie) pour Reipertswiller-SP.,from_to
je veux partir de Tessonnières pour Beauvais-Gare-SNCF,from_to
je veux partir de Besançon-Franche-Comté pour Altkirch,from_to
je veux partir de Pamiers pour Le Mont Dore Ski,from_to
je veux partir de Frohmuhl- (Lavoir) pour Le Dorat,from_to
je veux partir de Poitiers-Gare-Routière pour Royan,from_to
je veux partir de Mirecourt pour Nice-Ville,from_to
je veux partir de Vallorbe-Cff pour Audun-le-Roman,from_to
je veux partir de Cambrai Ville pour Rodez,from_to
je veux partir de Vittel pour St-Marcellin,from_to
je veux partir de Charleroi Sud pour Longwy,from_to
je veux partir de Dol pour Chagny,from_to
je veux partir de La Bresse Le Lispach pour Sisteron,from_to
je veux partir de Esvres pour Ussel,from_to
je veux partir de Bourg-St-Maurice pour Sathonay-Rillieux,from_to
je veux partir de Cernay-(Lycée) pour Morteau,from_to
je veux partir de Champagnole pour Sarralbe,from_to
je veux partir de Cannes-la-Bocca pour Mont-de-Marsan,from_to
je veux partir de Urcay-Hotel-du-Lyon-d'O pour Rumilly,from_to
je veux partir de Delémont pour Aubrais-(les),from_to
je veux partir de Romorantin-Blanc-Argent pour Auxonne,from_to
je veux partir de Lyon-Gorge-de-Loup pour Nogent-le-Rotrou,from_to
je veux partir de Paimpol pour Sisteron,from_to
je veux partir de Bussang (Gare SNCF) pour Etaples Le Touquet,from_to
je veux partir de St-Flour-les-Allées pour Chaumont,from_to
je veux partir de Paris-Bercy pour St-Aignan-Lep,from_to
je veux partir de Alençon pour Hattmatt-S.-Polyvalente,from_to
je veux partir de Castelnaudary pour Chaumont-sur-Tharonne,from_to
je veux partir de Bouxwiller-Schattenmann pour Nogent-sur-Seine,from_to
